小区名称,均价,区域,板块,地址,物业公司,开发商,楼栋总数,房屋总数,经度_百度坐标,纬度_百度坐标,经度_WGS1984坐标,纬度_WGS1984坐标,metro,year,buildingType,propertyExpense
黄金口岸,10001,汉阳,王家湾,(汉阳王家湾)和泰路6号,暂无信息,暂无信息,11,1951,114.176442,30.590072,114.164275135553,30.5867298481802,0,2008,1,0.95
南美上景A区,10008,黄陂,前川,(黄陂前川)锦秀道南美上景A区,武汉合利物业有限公司,武汉长安鑫盛投资有限公司,3,166,114.39374109924,30.881746472273,114.381664213935,30.8778349434214,0,2009,1,1.0
湖北第二师范学院职工住宅小区,10078,洪山,白沙洲,(洪山白沙洲)白沙洲大道110号,无物业管理服务,暂无信息,1,36,114.292619,30.49259,114.28063423133,30.489324555378,0,2003,1,-1.0
天下峰景,10084,蔡甸,蔡甸其它,(蔡甸蔡甸其它)工农路（庆龄幼儿园旁）,武汉新世纪鸿光物业服务有限公司,武汉天下置业集团有限公司,8,1213,114.048935,30.585092,114.036704847703,30.5816700610867,0,2014,3,1.2
北大资源首座,10086,汉阳,王家湾,(汉阳王家湾)琴台路505号,武汉国信房地产发展有限公司,武汉国信房地产发展有限公司,1,432,114.220348,30.575543,114.20840578791,30.5719200482365,3,2012,2,2.2
金茂花园,10090,蔡甸,蔡甸其它,(蔡甸蔡甸其它)茂盛路18号,暂无信息,暂无信息,3,36,114.04447613311,30.579387446563,114.032276313144,30.5759108837537,0,0,1,-1.0
首义四巷,10090,武昌,首义,(武昌首义)首义四巷36到38号,街道办事处（居委会）代管物业,无开发商,1,48,114.317598,30.543244,114.305578213365,30.5399582871465,4,1995,1,0.6
汉阳大街80号院,10093,蔡甸,蔡甸其它,(蔡甸蔡甸其它)汉阳大街80号,暂无信息,暂无信息,2,52,114.03842009696,30.585098925606,114.026259925722,30.5815315152976,0,0,1,-1.0
鸿岭花园西区,10097,武昌,中南丁字桥,(武昌中南丁字桥)石牌岭路96号,武汉周原物业股份有限公司,武汉新鸿发房地产开发有限公司,1,248,114.345808,30.526395,114.333851203375,30.5226113848055,0,2015,2,1.8
城管花园,10101,蔡甸,蔡甸其它,(蔡甸蔡甸其它)茂盛路城管花园,暂无信息,暂无信息,1,67,114.04324434338,30.575915713803,114.031053367834,30.5724232812626,0,0,1,0.8
畔山御景,10106,江夏,江夏其它,(江夏江夏其它)矿山路28号,暂无信息,暂无信息,1,48,114.311618,30.356508,114.299622863773,30.3533248600406,0,0,0,-1.0
