,站点名称,POI编号,拼音名称,换乘标志 1:换乘，0:不可换乘,su,sid编号,gd经度,gd纬度,路线名称,城市名称
0,汉口北,BV10060938,han kou bei,0,1,420100034364030,114.329481,30.711953,1号线,武汉
1,滠口新城,BV10060937,she kou xin cheng,0,1,420100034364029,114.342372,30.684553,1号线,武汉
2,滕子岗,BV10060936,teng zi gang,0,1,420100034364028,114.341474,30.674527,1号线,武汉
3,堤角,BV10060935,di jiao,0,1,420100034364027,114.338273,30.665863,1号线,武汉
4,新荣,BV10060934,XinRong,1,1,420100034364026,114.332763,30.657595,1号线,武汉
5,丹水池,BV10060933,dan shui chi,0,1,420100034364025,114.330017,30.643386,1号线,武汉
6,徐州新村,BV10060932,xu zhou xin cun,0,1,420100034364024,114.322936,30.631171,1号线,武汉
7,二七路,BV10420613,er qi lu,0,1,420100034364023,114.318749,30.625032,1号线,武汉
8,头道街,BV10060931,tou dao jie,0,1,420100034364022,114.313923,30.617818,1号线,武汉
9,黄浦路,BV10060930,huang pu lu,1,1,420100034364021,114.308156,30.608404,1号线,武汉
10,三阳路,BV10057861,san yang lu,1,1,420100034364020,114.301348,30.598718,1号线,武汉
11,大智路,BV10057868,da zhi lu,1,1,420100024335017,114.295038,30.592581,1号线,武汉
12,循礼门,BV10060903,xun li men,1,1,420100024404014,114.285992,30.585234,1号线,武汉
13,友谊路,BV10057864,YouYi Lu,0,1,420100034364017,114.278415,30.580865,1号线,武汉
14,利济北路,BV10058518,li ji bei lu,0,1,420100034364016,114.270119,30.577433,1号线,武汉
15,崇仁路,BV10060929,chong ren lu,0,1,420100034364015,114.261901,30.573909,1号线,武汉
16,硚口路,BV10060928,? kou lu,0,1,420100034364014,114.250444,30.571547,1号线,武汉
17,太平洋,BV10060927,TaiPingYang,0,1,420100034364013,114.240741,30.574025,1号线,武汉
18,宗关,BV10060863,ZongGuan,1,1,420100024331016,114.224975,30.580306,1号线,武汉
19,汉西一路,BV10059569,HanXi YiLu,0,1,420100034364011,114.218822,30.585491,1号线,武汉
